no	text	label
40	"@fadlizon Hehehe, klo tidak nyinyir bukan Fadli Zon namanya "	CB
41	"@Fahrihamzah Wakil rakyat yg kerjanya cuma nyinyir,  makan gaji buta,  prestasi nol,  itulah kalian, fahri hamzah dan Fadli zon.  Dua kutu busuk DPR! "	CB
42	"ngapain nyaksikan kecoak fadli zon dan kolega DPR (Dewan Penipu Rakyat) nya, mending nonton kick andy ?? "	CB
43	@lidya_hoki @fadlizon Alhamdulillah.... semoga rizieq di masukkan ke kandang kuda dan fadli zon segera mundur. Kapan lagi dpr bebas dri orang bodoh 	CB
44	Wasekjen demokrat nyinyir jokowi  Fadli zon jg nyiyir pak jokowi  Fahri hamzah berpeluang untuk duduk di demokrat / gerindra. Fahri pilih mana?? 	CB
45	"Melatih kesabaran itu dimulai dari ketika melihat berita pak fadli zon dan pak fahri hamzah, tangannya ga gatel buat nulis komen.. beraaatt, tp harus sabar.. sabar.. "	CB
46	"@dans_dst Rakyat kecil pasrah aja, kan pemeran utamanya, fadli zon, fahri hamzah ama sa arief konyol itu. "	CB
47	@fadlizon BANYAK BERBICARA + TIDAK ADA TINDAKAN = PAK FADLI ZON 	CB
48	@Fahrihamzah Fahri hamzah + @Fadli zon = Sampah dunia 	CB
49	@fadlizon Berpihak pd rakyat itu kan cuman buku n faktanya mana pk Fadli Zon yg terhormat. Rakyat yg mana dipihak pk Fadli Zon. 	CB
50	"Mari cerdas memilih pemimpin dan wakil rakyat Hindari tong kosong nyaring bunyinya #fahri Hamzah, Fadli Zon dkk. "	CB
51	@Fahrihamzah Fahri Hamzah + Fadli Zon = Radio rusak (??????????) 	CB
52	"@Fahrihamzah Pah fahri, sama pak fadli zon di ruqyah pak. Biar setannya tobat, bapak- bapak sekalian yg pergi."	CB
53	@fadlizon @jokowi Nyinyir trus..! Kan jg sdh ketangkap para pelaku 	CB
54	@fadlizon @YouTube @Gerindra Fadli zon anjing 	CB
55	@fadlizon @jokowi tuh bnn sibuk basmi.. bikin UU yg permudah kinerja mereka lah pak..ngeluh mulu..bisa bikin UU buat perbaikin negeri malah ngelah ngeluh..malu sama jabatan pak 	CB
56	@jokowi Bapak president terhormat jangan asik berkunjung kerja atau lengah di belakang bapak banyak orang yg ingin menjatuhkan kan bapak kalau saya sebelum terlambat.  Fadli Zon dan Fahri Hamzah di pecat agar negara kita aman dari penghianat 	CB
57	Tiba2 takut sendiri bayangin fadli zon keluar dari lobang wastafel cuci piring. ?? 	CB
58	"@Gerindra Iya bro... bukan bagiannya si mimin Gerindra jawab begituan @salendra18 . Coba ente tanya yang jadi bagiannya Gerindra dong. Misal, ini misal nih. Fadli Zon kena azab kapan ? Kemungkinan, ini mungkin nih si mimin Gerindra bisa jawab. @anandyalina "	CB
59	@Aditya53382229 @CNNIndonesia @fadlizon Ngatain fadli zon jangan ngomong sampah. Tapi mulutnya kayak sampah Kalian berdua itu sama saja 	CB
60	"udah , udah buka simpel, udah cek tagihannya berapa aku mau sleding ubun-ubun fadli zon aja "	CB
61	@CNNIndonesia fadli zon juaranya ngarang bebas 	CB
62	"@fadlizon Kalo pak fadli zon tentu kayak kekanak2an, masalah kecil digede2 in. Itu piala presiden apa gubernur? "	CB
63	"@fadlizon @jokowi @INFOBNN Ngetweet sekali saja  , ngetweet berkali kali malah seperti buang sampah sembarangan :D "	CB
64	@ezkisuyanto Tapi anggota Dpr yg terhormat pak @Fahrihamzah dan Fadli Zon gak paham ya soal ini? Apa mgkn mereka tidak tau persija punya siapa? 	CB
65	@alionathan1 @putri_teratai76 @fadlizon Fadli Zon dan Fahri hamzah Cocoknya dimasukkan ke dalam karung goni 	CB
66	"gue tahu nama fadli zon gara2 baca majalah horison, dulu sih respek setelah tahu orangnya malah jadi kaga pemikirannya apa sih? gue sih tahunya cuma kolektor norak, sejarahwan nanggung, dan penyair gagal "	CB
67	"Ketika mbak2 marah2 ke bapak2 di jalan gara- gara bapaknya belok ga pake lampu sein tapi kemudian mbaknya juga belok ga pake lampu sein, berarti virus Fadli Zon telah menyebar ke berbagai lapisan masyarakat "	CB
68	@fadlizon Harus di tanya ke fadli zon emang gak ada hobi lain selain ngerumpiin presiden. 	CB
69	@fadlizon Fadli Zon satu periode di DPR RI rakyat JANGAN  pilih manusia penyebar isu SARA 	CB
70	@tempodotco @tempometro Ahok...  Kalo ente keluar penjara. Jaga mulut yee. Tuh rizieq terkam ente lg kl nyocos kayak fadli zon. 	CB
71	@HariadiSimamora @TWardanny @fadlizon @Gerindra @prabowo Fadli zon suruh jadi mentri kebersihan . Kebersihan bibir yg bau comberan ya bang. 	CB
72	@fadlizon @jokowi Klo ga ada tuannya udh mati semua kita generasi muda tp nyatanya ketangkep smua itu pak dan bpk jgn selalu mencari kesalahan malu sama kopiah yg bpk pake salam 2periode 	CB
73	"@detikcom Ngelihat wajah Fadli Zon, seperti melihat boneka yg lagi ditampilkan oleh si boss.. tatapan mata kosong, ekspresi datar "	CB
74	Yg cocok bikin kementrian baru khusus bwt fadli zon… MENKOMFITPRO : Menteri Komunikasi Fitnah dan Provokasi.. wakak… 	CB
75	@fadlizon @prabowo @Gerindra Klw menang ibu negaranya siapa ya ?? Fadli zon cocok pakai kebaya broo ???? 	CB
76	@NajwaShihab Mba @NajwaShihab lain kali Narasumbernya jangan itu2 saja mba..agak membosankan melihat fadli zon 	CB
77	Klo Fadli Zon dikeroyok orang 1 gedung kira2 gimana? 	CB
78	@fadlizon @jokowi leluasa....? Kok ketangkep....? Bego gak sembuh2 yak.... 	CB
79	@J_Aryoko @NdaruTejowati @boz92fatah @evndari @fadlizon @jokowi Mana dia ngerti itu pak dia org FZ = goblok + oon 	CB
80	@fadlizon @jokowi @INFOBNN begitu juga MULUT PARLEMEN KW JALANAN adalah OMONG KOSONG bicara tentang BERSIH DIRI jika ANGGOTA nya ada yang menjadi BAGIAN hal yang KOTOR 	CB
81	@fadlizon @KabarFZ Satu2nya jalan untuk menyelamatkan partai @Gerindra di 2019 agar stabil perolehan  suaranya . Tendang jauh2 neh Badut !!! 	CB
82	" @NdaruTejowati @boz92fatah @evndari @fadlizon @jokowi tugas dpr ya mengkritik,  harus bnyak bicara,  bukan hanya plangak plongok ngak jelas, "	CB
83	"Sukses Anggun adalah sukses Indonesia. Tpi jgn bilang2 sama 2F, fahri zon dan fadli hamzah tar dinyinyirin.. @YuYemElek01 @AmbarwatiRexy"	CB
84	 @fadlizon @jokowi Itu ditangkep berton2 loe gak liat di Teve n di Koran Zonk ? Buta mata Buta hati yuah ente !!! 	CB
85	"Bung @fadlizon yang terhormat,dari pada anda ngomongin soal kinerja pak @jokowi ,bagaimana kalo anda tunjukkan prestasi anda sendiri ke rakyat?mana tau setelah pak @jokowi 2 periode,anda bisa dicalonkan jd presiden "	CB
86	@fadlizon asal ngomong 	CB
87	@tribunnews banyak penyelundupan tertangkap karena adanya penjaga negeri..bagaimana sih pola pikir @fadlizon ... harus berguru dengan @susipudjiastuti dan pak budi waseso nih.. 	CB
88	@ristechglobal @fadlizon @jokowi sikat… sikat.... bikin @fadlizon  kisinan ?????? 	CB
89	@fadlizon @jokowi Elu kagak bisa nyinyir zon kalau yg bawa sabu berton2 itu kagak ketangkep.. zon gak makan kalau gak nyinyir.. 	CB
90	@fadlizon @jokowi Mulut coberan bisa nya cuma nyinyir lu pasti nggak akan laku lagi di 2019!lu bakalan balik lagi jadi tukang cuci! 	CB
91	@fadlizon @jokowi @INFOBNN eh sebuah prestasi kinerja kok ya masih di nyinyiri mending LIHAT di DALAM PARTAImu apa SUDAH TIDAK ADA LAGI PENGEDAR sperti ANGGOTA DPR yang TERTANGKAP di BALI 	CB
92	@fadlizon @jokowi Kasihan ini fz seperti tong kosong gak ada prestasi. Kok bisa org spt ini duduk di DPR 	CB
93	"@fadlizon @jokowi Sblm ngetwit ngaca diri dulu, mmg kerja lu apa selama ini buat rakyat? Muak tau! "	CB
94	"@fadlizon @pakdetobat @jokowi Menggonggong lah pada tempatnya bukan di sosial media. sebagai wakil rakyat, dng undang2 kalian kami beri otoritas untuk mengawasi Pemerintah. sangat besar kekuasaan yg kami berikan pada kalian. Bahkan hak memberhentikan presiden pun kalian punya. "	CB
95	@fadlizon @jokowi Karena tuan2 terhornat di dewan sibuk urus undang2 kekebalan baru jadi tuli dan buta? 	CB
96	"@fadlizon @jokowi Siapa yg bilang leluasa ZONO...., penjaga negri sudah bekerja dengan baik dengan menangkap mereka tanpa banyak nyinyir di medsos… "	CB
97	"@fadlizon @jokowi Saatnya bro,,, copot Jaksa Agungnya biar diganti dari kalangan Profesional bukan dari orang Parpol "	CB
98	@fadlizon @jokowi Kalau dlm hatinya tertananm kedengkian dan teracuni keirian maka yg keluar dr mulutnya adalah sampah yg tak bermakna...  Semoga Tuhan memberi sedikit rasa murahnya utk memberi hidayah kpd @fadlizon 	CB
99	"@fadlizon @jokowi @fadlizon lupa prnh kritik kinerja bu @susipudjiastuti  #DRUG yg msuk bisa ketngkp krn rptnya pengamanan kelautan kita, apa anda benar- benar pikun? "	CB
100	"@fadlizon @jokowi Kalo Negeri ga ada penjaga, ga mungkin ketangkap Narkoba berton-ton itu mas bro… Gimana sih alur berpikir anda mas bro ? Masa anda lupa perintah boss sendiri… BOLEH BENCI ASAL SANTUN… "	CB
101	@fadlizon @jokowi Urat malunya dh putus 	CB
102	"@fadlizon @jokowi Gue fans berat prabowo,  tp org satu ini bikin gue sebel, dasar kampreeet.... "	CB
103	" @Fahrihamzah Satu hal yang saya salut dari @Fahrihamzah , biar di bully tidak ngblock seperti Si Gendoet Fadli Zon "	CB
104	@fadlizon Pengecut lu 	CB
105	@fadlizon @jokowi Inilah contoh orang yg punya mata tp kagak bisa ngelihat.. 	CB
106	@NdaruTejowati @fadlizon @jokowi Harusnya kita bangga krn jauh lbh hebat..... narkoba kan Dr negara lain transit dr bandara 1 ke bandara yg lain otomatis di bandara dpriksa knp bs lolos ga trdeteksi tp disini kecium n trtahan..apa ga hebat Negri INI?... mikir secara rasional dong om zonk 	CB
107	"@fadlizon @jokowi dasar DAKOCAN!! sang penerima award akik, junjunganmu nggak akan menang, salam DAIA ???? "	CB
108	@liputan6dotcom Ane ikut sambut imam besar habib rizieq syihab di bandara soetta. Ane akan koordinir pasukan gagal kelamin dari dukungan fadli zon dan fahri hamzah sbnyk 7juta ekor onta. 	CB
109	@fadlizon @jokowi logika para kecebong ke balik.. jika negeri ini aman dr bahaya narkoba tentu tu narkoba china dll g berani masuk karena keamanan yg ketat..nah skrg dibalik ama tuh cebong berhasil nangkap pengedar. bandar berarti sukses.. otak dikodokin kek gini.bikin sandiwara aja kek gitu 	CB
110	@eae18 @fadlizon @jokowi Waduh parah amat Presiden.saja tukang bohong. Apalagi Menteri/ pembantunya. Jangan salahkan kalau rakyat ikut bohong 	CB
111	"@fadlizon @jokowi Krn DPR nya seperti anda, tidak berkualitas "	CB
112	@fadlizon @jokowi La sampeyan fadli zon yg terhormat. Dimana fungsi anda sebagai wakil rakyat? Bikin RUU khusus penanganan bandar dan pengedar narkoba bersama wakil rakyat lain nya ajukan ke presiden. Saya rasa rakyat malah lebih setuju dengan cara seperti itu. Jangan malah UUMD3 sampeyan deal kan 	CB
113	@fadlizon @jokowi Buat pak @prabowo  tolong jangan di piara orang macam @fadlizon bisa bahaya buat reputasi pak @prabowo 	CB
114	@fadlizon @jokowi Kata2nya seperti organisme yg gagal berevolusi 	CB
115	"@fadlizon @jokowi Goblok, gak mikir lo ye, makin lo nyinyir gak pke otak kaya gni, makin eneg orang liat muke lo! Tolol "	CB
116	"Mau nanya pak, prestasi @fadlizon itu apa sih selama duduk di DPR-RI? serius nih "	CB
117	@fadlizon @jokowi Haduuuuh cape deeeech… Sama ni orang… 	CB
118	"itulah @fadlizon, ribut tanpa solusi, memang ini negaranya pak Prabowo dan Gerindra saja..? "	CB
119	"@fadlizon @jokowi Lha yg jualan kan anggota mu sendiri Zon, pikun apa lali kau ini Zon??? "	CB
120	@OrlandoRamlee @fadlizon Orang gilanyan jomblo sampai skrng ya?? wkwkwkkw 	CB
121	@fadlizon @jokowi Lebih ganteng pakai baju “orenge” deh km pak @fadlizon serius. 	CB
122	@fadlizon @jokowi Coba anda yg jd presiden … ngimpi kaliiii 	CB
123	@fadlizon Yg paling berkepentingan pakai jasa orang gila itu kan Koalisi KaMPret perusak NKRI untuk fitnah2 pemerintahan!! 	CB
124	 @fadlizon @jokowi serang… seranggg terusss… komentarmu ga jelas… fakta narkoba ketangkep aja tetep negatip nyinyirmu.. 	CB
125	@fadlizon @jokowi Ini lah wkil ketua dpr yg pikiran nya cetek slalu menjelek2an pemerintah.. Semacam kaya kampanye aja.. 	CB
126	@fadlizon @jokowi Ini wakil rakyat mewakili siapa ya..twiitnya bkn spt WNI sejati.... 	CB
127	@fadlizon @jokowi Bapak tau dari mana klo berton2? Oohh karena ditangkap yah?? Berarti gak leluasa donk! Berarti ada penjaga negeri ini! *Bececeran otaknya* 	CB
128	"@fadlizon @jokowi Bahasa begini kog ""Wakil Rakyat"" ,Sebenarnya siapa yg anda wakilkan pak ???  Bpk spt Narkoba ,harus di jaga penyebarannya di negara ini.Agar Tidak leluasa hancurkan generasi. "	CB
129	@fadlizon @jokowi Kasihan nih orng... semua followernya membully... bnyk follower tp semuanya Haters... sadar zon.... 90% follower kaku tdk suka sama kelakuanmu… 	CB
130	@fadlizon Hanya di jaman ini orang gila punya wakil di senayan 	CB
131	@fadlizon @jokowi Anda tau dari mana masuk dengan leluasa??? Ndk tau yg buta itu anda atau sirik anda yg membuat buta . Nyata2 ada bukti nyata 2x penangkapan yg nilaix lebih triliunan . Itu yg nangkap anda kah???? Hadeehhh .. sbnrnya males koment tweet anda . Tapi gatel gue dengan logika lo zonk 	CB
132	@fadlizon @jokowi Apa saja yg dilakukan di negeri ini pasti @jokowi  yg salah bagi @fadlizon  kebencian sudah mendarah daging 	CB
133	"@fadlizon @jokowi Ngomel Mulu kaya emak2, Sgala nyalahin presiden, coba anda yg berantas narkoba donk sekali2 jgn cuma bisa ngomel Mulu… kan anda d gaji ma rakyat jg "	CB
134	"@fadlizon @jokowi SAMPAIKAN ASPIRASI KAMI KE PEMERINTAH, JANGAN CUMA NGEBACOT GA GUNA DI TWITTER. NGETWITT SARKAS, NYINYIR, SUPAYA DIKASIH TEPUK TANGAN PARA OPOSISI, TERUS MERASA BANGGA UDAH JADI WAKIL KETUA DPR "	CB
135	@evndari @fadlizon @jokowi Capek bu ngurusi orang yang buta dan tuli.. Dimatanya hanya pecatan tentara itu yang sempurna 	CB
136	@fadlizon @jokowi Jd tugasmu apa?tidur dn minta di gaji 	CB
137	"@fadlizon @jokowi selalu ada Orang NYINYIR TERUS dalam Hidupnya, BUKANnya BANTU Nyari Solusi, ini Kan NEGARA KITA Bersama!! Memang Selalu Ada yg Dalam Hatinya, Senang ada Musibah dikala pemegang kendali adalah Lawan ”diskusi”, Hoby Cari Kesalahan, dan mengharapkannya, “kategori JAHAT”, hadeeh "	CB
138	@mochamadarip @BiLLRaY_san @RadPlague @DjanChoek @iwan_binjai @BKetrik @timomanullang @ChangeOrg_ID lama lama fadli zon dan fahri hamzah bikin undang undang sendiri dan menghukum kalo ada org yang ngatain dia MONYET 	CB
139	@fadlizon @jokowi Sudah ditangkapkan pak??  Logika berpikirinya dimana sampai anda membuat statement seperti ini 	CB
140	Bangun tidur ga sempat cuci muka makanya kalau ngomong Fadli Zon suka ngawur persis temenya Fahri Hamzah 	CB
141	@fadlizon @jokowi Ayo pak zon trs salahin pak @jokowi lama2 rakyat juga cerdas bagaimana menentukan pilihannya nanti. Semakin banyak nyinyir semakin eneg pula dg anda dan partainya @Gerindra . Salam 2periode 	CB
142	@fadlizon @jokowi Justru ini ada tuannya Pak makanya digagalkan. Kalau gak digagalkan baru gak bertuan. Logikannya dipakai ya Pak jangan asal bunyi. 	CB
143	"@fadlizon @jokowi Haaahhh MUAK, selorohmu gak kwalitas, cerminan pribadi. "	CB
144	"@fadlizon @jokowi Imajinasi tinggi tanpa bukti,,,,, sy khawatir lama lama bapak bisa strock "	CB
145	 @fadlizon Hemmm cuitan orang gk mampu alias iri 	CB
146	@fadlizon Banyak omong + Fadli Zon = Gak pilih Gerindra 	CB
147	@RizkiArmand1 @Mr__Lupus @ustadtengkuzul Lbh baik suudzon drpd fadli zon cin micin ?????? 	CB
148	"@fadlizon @jokowi Kayaknya ini org gak ada kerjaan selain maen twiter, gak rela uang kita gaji manusia seperti ini "	CB
149	@fadlizon @jokowi @INFOBNN Zonk. luh ngomong macam kumur kumur aja ya 	CB
150	Habis nonton mata najwa mikir keras kok bisa fadli zon jd wakil ketua dpr. Mungkin karna skill ngeles dan ngga nyambungnya 	CB
151	'@fadlizon @jokowi Ngeritik ko tiap hari… 	Non_CB
152	@fadlizon @jokowi @INFOBNN Sudah sampai jauh kedesa-desa… 	Non_CB
153	@fadlizon @jokowi Kalau gak ada penjaga tidak mungkin di tangkap pak 	Non_CB
154	@fadlizon @jokowi @INFOBNN Om.. kok 1 juta ton ??. Hayoooi bener gak tuh datanya ?? 	Non_CB
155	@fadlizon @jokowi Pak kan baru jaman sekarang di galakan Brantas narkoba jadi para cukong nya baru ketangkep 	Non_CB
156	@GendonRamsay Gue pengen ngambil bingkai foto fadli zon aja deh. Bakal bangga gak ya 	Non_CB
157	@kompascom Kalau Fadli Zon sendiri ? Anggota DPR Apa ya ??? 	Non_CB
158	@utangmeroket @ustadtengkuzul Fahri hamzah - Fadli zon Mantep nih.. 	Non_CB
159	"Ketika Fadli Zon Kegemarannya adalah Menyinyir Orang, Selamanyakah akan Begitu? "	Non_CB
160	 @fadlizon @jokowi Makin mantab dukung Jokowi kalau cuma dua capres Jokowi dan Prabowo 	Non_CB
161	"@fadlizon @jokowi Bung fadli kan sdh ketangkep sebelum beredar.. hebat dong petugas"" kita.. salut buat BNN dan Bea cukai.. Dan itu gak cuma di indonesia.. di perlukan partisipasi masyarakan luas lah.. "	Non_CB
162	"@cristinnataliag @fadlizon Dia bisa duduk dan bertahan di kursi DPR hingga kini, itulah yg menjdi prestasinya. "	Non_CB
163	"@fadlizon @jokowi Aneh ma orang ini, segitu Udah berapa ton narkoba yg tertangkap, seharusnya bangga dong dengan pemerintahan sekarang, "	Non_CB
164	@fadlizon @jokowi Hehehe. Topik hari ini narkoba nih? Hebat euy si Bapak. Tiap hari ada aja yang dibahas. Jempolan lah. Emang gampang sih Pak ngomingin kelemahan orang. Jelek dicerca. Bagus tak jadi bahan berita. - pandji 	Non_CB
165	@fadlizon @jokowi Justru saat ini ketanggkap jaman dulu pasti bablass makanya banyak yang edan jangan putar balikan ommm  Fiktornya buang jauh jauh biar kepilih lagi 	Non_CB
166	"@fadlizon @jokowi mikirnya dari persepsi positif dong, hanya di jaman jokowi berhasil menggagalkan masuknya narkoba  berton2 Australia kan kmrn juga berhasil menggagalkan. Ini bahaya narkoba mesti kita waspadain pak, bukan dijadikan gorengan tahu bulat dadakan "	Non_CB
167	@boz92fatah @evndari @fadlizon @jokowi Tiap hari kok ngritik teruus Kerjanya di tenaga dan pikiran untuk memajukan Bangsa.. Bukan di Cuitan.. 	Non_CB
168	@fadlizon @jokowi Bangsa Indonesia sedang menghadapi serangan hutang dan narkoba. 	Non_CB
169	"@fadlizon @jokowi justru ada tuannya, di era p jokowi banyak sabu ber ton ton terungkap. justru yg berbahaya yg tidak ketahuan "	Non_CB
170	@fadlizon Knp bukan Om Fadli Zon saja yg maju cawapres 	Non_CB
171	@kompascom Fadli Zon makin gembira ???? 	Non_CB
172	"@kompascom Mendingan Anies di pasangin sama Fadli Zon atau Fachri Hamzah, pasti debatnya lebih seru dan bermutu untuk ditonton, soal milih nampaknya Jokowi masih tetap dapat peluang menang ! "	Non_CB
173	@fadlizon Dukung pak fadli zon sebagai cawapres mendampingi pak Prabowo 	Non_CB
174	"@TetenKustendi @mohmahfudmd Saya sih pengen Prabowo, Kivlan Zen, Fadli Zon, Fahri Hamzah, Amin Rais jadi penonton seumur hidupnya, supaya pemerintah ada penyeimbang, kalaupun boleh,, Aminnn,, dengarkan doaku ini TUHAN... Amin "	Non_CB
175	@fadlizon @jokowi kan bandarnya yg butuh uang banyak untuk mencapai tujuanya . 	Non_CB
176	"@fadlizon @jokowi mau tanya, secara prosedural wakil ketua DPR RI yang ter-hormat punya kewenangan nanganin Narkoba kah ?? "	Non_CB
177	"@fadlizon @jokowi Kalo ke tangkap bagus , kalo ngg ketangkap baru pertanyaan timbul @fadlizon "	Non_CB
178	@fadlizon @jokowi Mbok sadar pak dewan lihat yg sdh dilakukan pemerintah… 	Non_CB
179	@fadlizon @jokowi Penjaga negeri adalah seluruh bangsa Indonesia ! 	Non_CB
180	@fadlizon Hanya Fadli Zon saja anggota DPR. Kok yg lain tdk pernah bersuara 	Non_CB
181	 @GNFI Semua warga Indonesia sangat bangga kecuali bung Fadli Zon 	Non_CB
182	@fadlizon @jokowi @INFOBNN KARENA pengedar NARKOBA hanya akan MENGAMBIL sisi KEUNTUNGAN dari BERBAGAI CELA 	Non_CB
183	" @mohmahfudmd Pak , Satu kata Bapak tentang Fahri hamzah, fadli zon, dan setya novanto kira kira apaya ? "	Non_CB
184	@TeddyMGBasae @rpattya @CintaNKRI12 @fadlizon @jokowi @prabowo @HdrAbdurrahman @pangeran5pesona @rizkigross Maafkn mrk broo yg terlalu polos dlm menyikapi issue politik di tahun pokitik ini 	Non_CB
185	" @fadlizon @jokowi Apakah berita ini sampai keistana,,?? atau mereka juga menikmati hasilnya… "	Non_CB
186	pak fadli zon ini memang idolaaakkkk WKK 	Non_CB
187	 @fadlizon Ass pa fadli zon mohon bpk kasih saran pa jokowi bykin ok oce diseluruh Indonesia kurangin kemiskinan dan pengangguran 	Non_CB
188	 @widyibrahim @fadil__fadil Malu sama folower fadli zon :( 	Non_CB
189	"Ada partai yang bisa lepas dari dinasti keluarga pendiri atau tokoh besar partainya. Gerindra mungkin bisa lepas dari Prabowo, Anaknya Prabowo rasanya ga tertarik politik. Mungkin Fadli Zon jadi ketum berikutnya dengan restu Prabowo "	Non_CB
190	Fadli zon juga sholeh. Kemana-mana pake peci. 	Non_CB
191	 @CNNIndonesia berharap fadli zon yg akan nyapres pasti seru. 	Non_CB
192	Aneh ini orang tidak bisa bedakan hasil kerja bagus  Cerita Kontroversial Fadli Zon Terkait Keberhasilan Menteri Jokowi 	Non_CB
